book_name,summaries,categories,categories_list,combined_text
" Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.","happiness, productivity, psychology, health, work, mindfulness","['happiness', 'productivity', 'psychology', 'health', 'work', 'mindfulness']"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish. happiness productivity psychology health work mindfulness"
 The Book ,is a spiritual exploration of true human nature and our place in the universe that challenges wide-spread but often misled beliefs.,mindfulness,['mindfulness'],is a spiritual exploration of true human nature and our place in the universe that challenges wide-spread but often misled beliefs. mindfulness
#GIRLBOSS, shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.,"motivation, business, creativity, work","['motivation', 'business', 'creativity', 'work']", shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways. motivation business creativity work
10 Days To Faster Reading," helps you bring your reading skills to the current century, even if you’ve stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better.","productivity, psychology, education","['productivity', 'psychology', 'education']"," helps you bring your reading skills to the current century, even if you’ve stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better. productivity psychology education"
10% Happier," gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life.","happiness, psychology, mindfulness","['happiness', 'psychology', 'mindfulness']"," gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life. happiness psychology mindfulness"
10-Minute Toughness," is a hands-on guide to becoming the best version of yourself and achieving success through consistent good practices such as eating right, forming meaningful relationships, committing to your goals publicly, visualizing your achievements, and many others.","economics, business, mindfulness","['economics', 'business', 'mindfulness']"," is a hands-on guide to becoming the best version of yourself and achieving success through consistent good practices such as eating right, forming meaningful relationships, committing to your goals publicly, visualizing your achievements, and many others. economics business mindfulness"
12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.","relationships, happiness, productivity, psychology, motivation, health, creativity, communication, work","['relationships', 'happiness', 'productivity', 'psychology', 'motivation', 'health', 'creativity', 'communication', 'work']"," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can. relationships happiness productivity psychology motivation health creativity communication work"
13 Things Mentally Strong Parents Don’t Do," teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits.","relationships, happiness, psychology, communication","['relationships', 'happiness', 'psychology', 'communication']"," teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits. relationships happiness psychology communication"
13 Things Mentally Strong People Don’t Do," started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience.","happiness, productivity, psychology, mindfulness","['happiness', 'productivity', 'psychology', 'mindfulness']"," started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience. happiness productivity psychology mindfulness"
1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,"science, politics, economics, psychology, education, fiction, technology","['science', 'politics', 'economics', 'psychology', 'education', 'fiction', 'technology']", is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free. science politics economics psychology education fiction technology
2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade.","science, economics, creativity, technology","['science', 'economics', 'creativity', 'technology']"," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade. science economics creativity technology"
21 Days To A Big Idea," shows you how to combine the creative and rational sides of your brain to come up with cool, new ideas and fun ways to implement them, which might even help you create a sustainable business in the long run, in as little as 21 days.","psychology, business, creativity","['psychology', 'business', 'creativity']"," shows you how to combine the creative and rational sides of your brain to come up with cool, new ideas and fun ways to implement them, which might even help you create a sustainable business in the long run, in as little as 21 days. psychology business creativity"
21 Lessons For The 21st Century," highlights today’s most pressing political, cultural, and economic challenges created by technology while helping us prepare for an uncertain future.","psychology, education","['psychology', 'education']"," highlights today’s most pressing political, cultural, and economic challenges created by technology while helping us prepare for an uncertain future. psychology education"
23 Things They Don’t Tell You About Capitalism, will help you think more clearly about our current economic state by uncovering the hidden consequences of free-market capitalism and offering solutions that could give us all a more fair world.,"politics, economics, money, business","['politics', 'economics', 'money', 'business']", will help you think more clearly about our current economic state by uncovering the hidden consequences of free-market capitalism and offering solutions that could give us all a more fair world. politics economics money business
30 Lessons For Loving, gives the relationship advice of hundreds of couples who have stayed together into old age and will teach you how to have happiness and longevity in your love life.,"relationships, happiness, communication","['relationships', 'happiness', 'communication']", gives the relationship advice of hundreds of couples who have stayed together into old age and will teach you how to have happiness and longevity in your love life. relationships happiness communication
